NÂº,#,TID,EPC,,,(kHz),(0Â°-180Â°),
120,1,E200680B00004006A19534C80000000000000000000000000000,E200680B0000000000000000,-51,11,923250,75,Gen2
121,2,E2003412012D02000A534B92010A012A300D4AFBFFFFDC40,4E20190A02D3800000000001,-51,11,923250,135,Gen2
122,2,E200680B00004006A1B3DCE80000000000000000000000000000,E200680B0000000000000000,-51,11,923250,165,Gen2
123,5,E28011052000794274ED0A6B000000000000000000000000,FFFF2BAA,-37,11,923250,87,Gen2
124,1,E20034120189C2FFEE92E46E0506017A30055FFBFFFFDC00,050914201600000000000929,-60,11,923250,168,Gen2
125,4,E200680B00004006B9F310560000000000000000000000000000,E200680B0000000000000000,-51,11,923250,137,Gen2
126,2,E200680B00004006A061AC6F0000000000000000000000000000,E200680B0000000000000000,-58,11,923250,14,Gen2
127,2,E20065750549592C,64680,-54,11,923250,47,Gen2
128,1,E200680B00004006B9F26D1F0000000000000000000000000000,E200680B0000000000000000,-51,11,923250,56,Gen2
129,2,E200680B00004006B9F0F4860000000000000000000000000000,E200680B0000000000000000,-48,11,923250,135,Gen2
130,6,E20065750549248D,73446,-53,11,923250,165,Gen2
131,2,E20065750549A3AC,83556,-57,11,923250,61,Gen2
132,1,E2801105200076CA74B30A6B000000000000000000000000,FFFF3185,-38,11,923250,5,Gen2
133,2,E200680B00004006A1B331340000000000000000000000000000,E200680B0000000000000000,-52,11,923250,123,Gen2
134,12,E20065750548B3A1,31343,-52,11,905250,50,Gen2
135,3,E2003412013B010004E0051E191E0136700D5FFBFFFFDC60,E200001B231002422090DA5D,-51,11,923250,42,Gen2
136,30,E200680B00004006A19594770000000000000000000000000000,E200680B0000000000000000,-59,11,921250,42,Gen2
137,2,E200680B00004006A1B29CCF0000000000000000000000000000,E200680B0000000000000000,-59,11,923250,28,Gen2
138,3,E2006575054982A7,57702,-59,11,923250,56,Gen2
139,3,E200657505499365,66890,-57,11,923250,174,Gen2
140,2,E200600316D90A61,28539,-60,11,923250,112,Gen2
141,1,E20034120130C1FFEEFEA7771B21012D10055FFBFFFFDC50,1106,-59,11,923250,154,Gen2
142,1,E20034120130C1FFEEFEA7771B21012C00055FFBFFFFDC50,1106,-61,11,923250,75,Gen2
143,3,E200600316D9097A,28533,-54,11,923250,45,Gen2
144,2,E200680B00004006B9F140BE0000000000000000000000000000,E200680B0000000000000000,-51,11,923250,174,Gen2
145,2,E200680B00004006B9F1D1100000000000000000000000000000,E200680B0000000000000000,-48,11,923250,157,Gen2
146,3,E200680B00004006A046108E0000000000000000000000000000,E200680B0000000000000000,-51,11,923250,109,Gen2
147,1,E20034120133200000304AF610030130100D5FFBFFFFDC60,E2000020830302151070C0B7,-61,11,923250,61,Gen2
148,1,E20034120133200000304AF610030130300D5FFBFFFFDC60,E2000020830302151070C0B7,-54,11,923250,157,Gen2
149,2,E200600316D9A04E,12883,-54,11,923250,36,Gen2
150,2,E200341201271C00014C857E0D0C0127300D5FFBFFFFDC60,E200001D761902240730C698,-51,11,923250,11,Gen2
151,2,E200680B00004006B9F1CD190000000000000000000000000000,E200680B0000000000000000,-55,11,923250,104,Gen2
152,2,E200680B00004006A1B214500000000000000000000000000000,E200680B0000000000000000,-54,11,923250,39,Gen2
153,1,E2003412012FFB0005203904291A012C30055FFBFFFFDC40,E2005186000A26000430E904,-50,11,923250,135,Gen2
154,2,E20034120145C3FFEE9804C61919014430055FFBFFFFDC40,E20083475909002519504B91,-53,11,923250,129,Gen2
155,1,E2003412013DFF000C4F1E9E0E130139100D5FFBFFFFDC50,E200002039100169167095BD,-59,11,923250,154,Gen2
156,3,E2003412013DFF000C4F1E9E0E13013B300D5FFBFFFFDC50,E200002039100169167095BD,-55,11,923250,135,Gen2
157,2,E2003412013DFF000C4F1E9E0E13013A300D5FFBFFFFDC50,E200002039100169167095BD,-55,11,923250,75,Gen2
158,3,E200680B00004006A03208D80000000000000000000000000000,E200680B0000000000000000,-49,11,923250,50,Gen2
159,1,E20034120164C2FFEE5DCBCB10080160100D5FFBFFFFDC00,E200001D641501890760A87F,-59,11,923250,36,Gen2
160,3,E2006575054983CA,84799,-55,11,923250,174,Gen2
161,3,E200680B00004006A191FCD40000000000000000000000000000,E200680B0000000000000000,-58,11,923250,109,Gen2
162,3,E200680B00004006B9F154DD0000000000000000000000000000,E200680B0000000000000000,-54,11,923250,157,Gen2
163,2,E2003412012DFD0006DB019D0A08012C300D5FFBFFFFDC50,E2000015350901892870019D,-51,11,923250,2,Gen2
164,1,E2003412012DFD0006DB019D0A08012D300D5FFBFFFFDC50,E2000015350901892870019D,-52,11,923250,92,Gen2
165,3,E200680B00004006A19234190000000000000000000000000000,E200680B0000000000000000,-54,11,923250,132,Gen2
166,6,E200680B00004006A1B33C9F0000000000000000000000000000,E200680B0000000000000000,-52,11,905250,146,Gen2
167,3,E20065750548E7CD,78899,-56,11,923250,135,Gen2
168,2,E200600316D98830,76467,-59,11,923250,14,Gen2
169,2,E200680B000040069F2628990000000000000000000000000000,E200680B0000000000000000,-58,11,923250,42,Gen2
170,1,E2003412012F03000D85BE64080E012C300D5FFBFFFFDC60,004472003318013322306CE6,-51,11,923250,106,Gen2
171,1,E2003412012F03000D85BE64080E012D300D5FFBFFFFDC60,004472003318013322306CE6,-50,11,923250,67,Gen2
172,3,E200680B00004006B9F270980000000000000000000000000000,E200680B0000000000000000,-50,11,923250,112,Gen2
173,2,E2003412013DC1FFEEFA11DC050A013910055FFBFFFFDC60,5845,-59,11,923250,42,Gen2
174,2,E200680B000040069F2584B10000000000000000000000000000,E200680B0000000000000000,-50,11,923250,56,Gen2
175,4,E200600316D92A9E,21101,-55,11,923250,165,Gen2
176,3,E200680B00004006A1B2244A0000000000000000000000000000,E200680B0000000000000000,-51,11,923250,75,Gen2
177,1,E200657505496D72,59616,-59,11,923250,135,Gen2
178,2,E200680B00004006A1B3F9000000000000000000000000000000,E200680B0000000000000000,-49,11,923250,135,Gen2
179,4,E200680B00004006A061D0590000000000000000000000000000,E200680B0000000000000000,-51,11,923250,22,Gen2
180,2,E200341201350200032AEE9F0D180131300D5FFBFFFFDC50,E2000019830602052280BA8E,-55,11,923250,112,Gen2
181,1,E200341201350200032AEE9F0D180132300D5FFBFFFFDC50,E2000019830602052280BA8E,-51,11,923250,160,Gen2
182,4,E200600316D8E90A,14146,-59,11,923250,39,Gen2
183,2,E200680B00004006B9F17C4F0000000000000000000000000000,E200680B0000000000000000,-60,11,923250,39,Gen2
184,2,E2003412012E0200032A7F421B0B012C300D5FFBFFFFDC50,E20000198306009927304B31,-56,11,923250,42,Gen2
